"lang"
{
    "Language" "None"
    "Tokens"
    {
// ---- START OF FILE ----
"Language"                                                                                     "None"
"treasurie3_spray7"                                                                            "Apparition"
"treasurie3_spray8"                                                                            "Let's See.."
"treasurie3_spray9"                                                                            "Anti Mage"
"treasurie3_spray10"                                                                           "Roshan 2"
"treasurie3_spray11"                                                                           "Energetic"
"treasurie3_spray12"                                                                           "Love"
"treasurie3_spray13"                                                                           "I dare you"
"treasurie3_spray14"                                                                           "OOO"
"treasurie3_spray15"                                                                           "Techies?"
"treasurie3_spray16"                                                                           "Dark Willow"
"gems_award"                                                                                   "500 Gems"
"treasurie4"                                                                                   "Chest 4"
"treasurie5"                                                                                   "Chest 5"
"treasurie4_spray1"                                                                            "Graffiti"
"treasurie4_spray2"                                                                            "Graffiti"
"treasurie4_spray3"                                                                            "Graffiti"
"treasurie4_spray4"                                                                            "Graffiti"
"treasurie4_spray5"                                                                            "Graffiti"
"treasurie4_spray6"                                                                            "Graffiti"
"treasurie4_spray7"                                                                            "Graffiti"
"treasurie4_spray8"                                                                            "Graffiti"
"treasurie4_spray9"                                                                            "Graffiti"
"treasurie4_spray10"                                                                           "Graffiti"
"treasurie4_spray11"                                                                           "Graffiti"
"treasurie4_spray12"                                                                           "Graffiti"
"treasurie5_spray1"                                                                            "Graffiti"
"treasurie5_spray2"                                                                            "Graffiti"
"treasurie5_spray3"                                                                            "Graffiti"
"treasurie5_spray4"                                                                            "Graffiti"
"treasurie5_spray5"                                                                            "Graffiti"
"treasurie5_spray6"                                                                            "Graffiti"
"treasurie5_spray7"                                                                            "Graffiti"
"treasurie5_spray8"                                                                            "Graffiti"
"treasurie5_spray9"                                                                            "Graffiti"
"treasurie5_spray10"                                                                           "Graffiti"
"treasurie5_spray11"                                                                           "Graffiti"
"treasurie5_spray12"                                                                           "Graffiti"
"dota_don_shop_error"                                                                          "You are missing crystals! You can find out how to get crystals in Discord!"
"DailyTaskDescription_Lable1"                                                                  "Kill bosses in 40 seconds <font color='green'>0/4</font>"
"DailyTaskDescription_Lable2"                                                                  "Slay <font color='green'>148/1000</font> dragons"
"DailyTaskDescription_Lable3"                                                                  "Kill Furion 0/5 <font color='green'>1/5</font>"
"DailyTaskGetAward"                                                                            "Get an award!"
"DailyMainLabel"                                                                               "Quests"
"DailyTitleTooltip"                                                                            "<b>Unique tasks for every day.</b><br><br> For completing these tasks you will receive a reward of <font color='gold'>5,10,10</font> shields on your account."
"DailyTaskDescription_1"                                                                       "Kill the Guardian of the Forest"
