"lang"
{
    "Language" "None"
    "Tokens"
    {
// ---- START OF FILE ----
"language"                                                                                     "Chinese"
"dota_tooltip_ability_item_quest_line_head2"                                                   "帽子"
"dota_tooltip_ability_item_quest_line_ice_asd1"                                                "魔法護腕"
"dota_tooltip_ability_item_quest_line_ice_skull"                                               "冰骷髏"
"dota_tooltip_ability_item_quest_line_klyk"                                                    "方"
"dota_tooltip_ability_item_quest_line_mirow"                                                   "鏡子"
"dota_tooltip_ability_item_quest_line_pivo"                                                    "啤酒"
"dota_tooltip_ability_item_quest_line_rock"                                                    "符文"
"dota_tooltip_ability_item_quest_line_sun"                                                     "太陽星座"
"dota_tooltip_ability_item_quest_line_book"                                                    "黑暗持有"
"dota_tooltip_ability_item_quest_line_boots"                                                   "機器人"
"dota_tooltip_ability_item_quest_necronomicon"                                                 "咄咄逼人的Necronomicon"
"dota_tooltip_ability_item_quest_necronomicon_description"                                     "<h1>活跃: 行动呼吁</h1></h1>召唤两个Necronomicon，它们对你有攻击性，杀死它们你会得到奖励。."
"dota_tooltip_ability_item_key_description"                                                    "老鑰匙！"
"dota_tooltip_ability_item_raid_ticket"                                                        "老闆突襲"
"dota_tooltip_ability_item_raid_ticket_description"                                            "使用此物品，您可以找到突襲首領，請記住，您擁有的盟友越多，對您來說就越容易！"
"dota_tooltip_ability_item_raid_ticket2"                                                       "老闆突襲"
"dota_tooltip_ability_item_raid_ticket2_description"                                           "使用此物品，您可以找到突襲首領，請記住，您擁有的盟友越多，對您來說就越容易！"
"dota_tooltip_ability_item_raid_ticket3"                                                       "老闆突襲"
"dota_tooltip_ability_item_raid_ticket3_description"                                           "使用此物品，您可以找到突襲首領，請記住，您擁有的盟友越多，對您來說就越容易！"
"dota_tooltip_ability_item_raid_ticket4"                                                       "老闆突襲"
"dota_tooltip_ability_item_raid_ticket4_description"                                           "使用此物品，您可以找到突襲首領，請記住，您擁有的盟友越多，對您來說就越容易！"
"easy_desc"                                                                                    "未分級\n 怪物生命值 75% \n 怪物傷害 125% \n 怪物傷害 75% \n 怪物技能 CD 125%"
"normal_desc"                                                                                  "等級 \n 怪物生命值 100% \n 怪物傷害 100% \n 怪物傷害 100% \n 怪物技能冷卻時間 100%"
"hard_desc"                                                                                    "等級 x2 \n 怪物生命值 200% \n 怪物傷害 75% \n 怪物傷害 200% \n 怪物技能冷卻時間 75%"
"ultra_desc"                                                                                   "等級 x3 \n 怪物生命值 250% \n 怪物傷害 50% \n 怪物傷害 250% \n 怪物技能冷卻時間 50%"
"insane_desc"                                                                                  "等級 x4 \n 怪物生命值 300% \n 怪物傷害 25% \n 怪物傷害 300% \n 怪物技能冷卻時間 50%"
"dota_tooltip_modifier_easy"                                                                   "簡單的難度"
"dota_tooltip_modifier_normal"                                                                 "普通難度"
"dota_tooltip_modifier_hard"                                                                   "困難重重"
"dota_tooltip_modifier_ultra"                                                                  "超難"
"dota_tooltip_modifier_insane"                                                                 "不可能的困難"
"dota_tooltip_modifier_easy_description"                                                       "未分級\n 怪物生命值 75% \n 怪物傷害 125% \n 怪物傷害 75% \n 怪物技能 CD 125%"
"dota_tooltip_modifier_normal_description"                                                     "額定值\n 怪物生命值 100% \n 怪物傷害 100% \n 怪物傷害 100% \n 怪物技能 CD 100%"
"dota_tooltip_modifier_hard_description"                                                       "等級 x2 \n 怪物生命值 200% \n 怪物傷害 75% \n 怪物傷害 200% \n 怪物技能冷卻時間 75%"
"dota_tooltip_modifier_ultra_description"                                                      "等級 x3 \n 怪物生命值 250% \n 怪物傷害 50% \n 怪物傷害 250% \n 怪物技能冷卻時間 50%"
"dota_tooltip_modifier_insane_description"                                                     "等級 x4 \n 怪物生命值 300% \n 怪物傷害 25% \n 怪物傷害 300% \n 怪物技能冷卻時間 50%"
"event_dragon"                                                                                 "邪惡的力量將金龍送入了這個世界。你會失去你的金子，直到你殺了他！"
"event_babka"                                                                                  "邪惡勢力將他們的魔法師送到了這個世界。我已經詛咒你了！殺死法師以解除詛咒！"
"event_roshan"                                                                                 "金色肉山出現在這個世界上，在它消失之前找到並攻擊它！"
"dota_tooltip_modifier_babka_spell_aura"                                                       "你被詛咒了"
"dota_tooltip_modifier_babka_spell_aura_description"                                           "傷害、生命值、護甲、魔法抗性和下降率、冷卻時間的指標增加。"
"goldendragon"                                                                                 "金龍"
"babka"                                                                                        "魔術師"
"npc_treasure_chest"                                                                           "金色肉山"
"talant_examine_btn"                                                                           "學"
"talant_button_examine"                                                                        "學"
"talant_nrom_exp_description"                                                                  "藍經驗："
"talant_don_exp_description"                                                                   "金牌經驗："
"talant_games_description"                                                                     "遊戲："
"talant_time_description"                                                                      "時間："
"talant-shop-refresh-description"                                                              "你可以重置英雄的天賦。積累的經驗和等級不會丟失"
"talant-shop-exp-pack-1-description"                                                           "增加英雄天賦經驗1000單位。"
"talant-shop-exp-pack-2-description"                                                           "增加英雄天賦經驗5000單位。"
"talant-shop-exp-pack-3-description"                                                           "增加英雄天賦經驗15000單位。"
"talant-shop-don-exp-pack-1-description"                                                       "增加英雄的黃金天賦經驗1000單位。"
"talant-shop-don-exp-pack-2-description"                                                       "增加英雄的金幣天賦經驗5000單位。"
"talant-shop-don-exp-pack-3-description"                                                       "增加英雄的黃金天賦經驗15000單位。"
"talant_normal_exp_label"                                                                      "經驗："
"talant_game_time_label"                                                                       "時間"
"commens"                                                                                      "評論"
"rating_zar"                                                                                   "勝率"
"rating_nadez"                                                                                 "保存評分"
"rating_doom"                                                                                  "厄運評級"
"rating_your_mmr"                                                                              "評分"
"season_tab"                                                                                   "季節"
"season"                                                                                       "季節"
"june"                                                                                         "六月"
"jule"                                                                                         "七月"
"SEPTEMBER"                                                                                    "СЕНТЯБРЬ"
"AUGUST"                                                                                       "AUGUST"
"season_name_1"                                                                                "七月"
"season_name_2"                                                                                "七月"
"season_name_3"                                                                                "八月"
"season_name_4"                                                                                "九月"
"season_name_5"                                                                                "十月"
"season_name_6"                                                                                "十一月"
"season_name_7"                                                                                "十二月"
"season_name_8"                                                                                "一月"
"season_name_9"                                                                                "二月"
"season_name_10"                                                                               "行進"
"season_name_11"                                                                               "四月"
"season_name_12"                                                                               "可能"
"season_name_13"                                                                               "七月"
"season_name_14"                                                                               "七月"
"season_name_15"                                                                               "八月"
"season_name_16"                                                                               "九月"
"season_name_17"                                                                               "十月"
"season_name_18"                                                                               "十一月"
"season_name_19"                                                                               "十二月"
"season_name_20"                                                                               "一月"
"season_name_21"                                                                               "二月"
"season_name_22"                                                                               "行進"
"season_name_23"                                                                               "四月"
"season_name_24"                                                                               "可能"
"dondon"                                                                                       "遊戲中的捐贈以水晶的形式呈現！ Donate 將為您打開一家擁有獨特物品的獨特商店！您可以通過點擊描述中的鏈接為您的遊戲內水晶帳戶充值，並且在捐贈時請務必註明 FRIEND ID！ 10 水晶 = 1 美元。所有問題都去 discord"
"pets"                                                                                         "寵物"
"pet_change"                                                                                   "寵物變化"
"shop_image_pet_change_tooltip"                                                                "允許您在整個遊戲過程中更換寵物"
"active"                                                                                       "打開"
"shop"                                                                                         "店鋪"
"gems"                                                                                         "寶石"
"shop_image_effect_tooltip"                                                                    "為你的英雄添加美麗的效果"
"shop_image_heros_tooltip"                                                                     "購買英雄卡解鎖第二個天賦樹分支"
"pets_info"                                                                                    "信息"
"pet_title"                                                                                    "寵物：等級"
"modifier_custompet_delay"                                                                     "重新加载一个宠物的能力."
"other_10"                                                                                     "斧頭"
"other_11"                                                                                     "猪鬃"
"other_12"                                                                                     "半人馬戰行者"
"other_13"                                                                                     "龍騎士"
"other_14"                                                                                     "羅"
"other_15"                                                                                     "行進"
"other_16"                                                                                     "沙王"
"other_17"                                                                                     "斯文"
"other_18"                                                                                     "樹精衛士"
"other_19"                                                                                     "幽靈王"
"other_20"                                                                                     "天穹守望者"
"other_21"                                                                                     "卓爾遊俠"
"other_22"                                                                                     "劍聖"
"other_23"                                                                                     "月亮"
"other_24"                                                                                     "幻影刺客"
"other_25"                                                                                     "影魔"
"other_26"                                                                                     "斯拉克"
"other_27"                                                                                     "狙擊手"
"other_28"                                                                                     "幽靈"
"other_29"                                                                                     "恐怖利刃"
"other_30"                                                                                     "眼花繚亂"
"other_31"                                                                                     "麗娜"
"other_32"                                                                                     "女巫"
"other_33"                                                                                     "獅子"
"other_34"                                                                                     "衝突"
"other_35"                                                                                     "暗影薩滿"
"other_36"                                                                                     "修補匠"
"other_37"                                                                                     "術士"
"other_38"                                                                                     "風行者"
"other_39"                                                                                     "宙斯"
"other_40"                                                                                     "海蜇"
"other_41"                                                                                     "天怒法師"
"other_42"                                                                                     "軍團指揮官"
"other_43"                                                                                     "矮胖的人"
"other_44"                                                                                     "馬爾西"
"other_45"                                                                                     "水晶少女"
"other_46"                                                                                     "巨魔軍閥"
"other_47"                                                                                     "技術人員"
"other_48"                                                                                     "Alchemist"
"other_50"                                                                                     "Bloodseeker"
"other_51"                                                                                     "Gyrocopter"
"other_52"                                                                                     "Ancient Apparition"
"scroll_1"                                                                                     "盔甲捲軸"
"dota_tooltip_ability_item_armor_aura"                                                         "盔甲捲軸"
"dota_tooltip_ability_item_armor_aura_description"                                             "使用此捲軸，1000範圍內的英雄將獲得相當於總屬性10%的護甲加成。 \n死亡後，buff消失。"
"dota_tooltip_ability_item_armor_aura_dur"                                                     "期間："
"dota_tooltip_modifier_item_armor_aura"                                                        "護甲捲軸buff"
"dota_tooltip_modifier_item_armor_aura_description"                                            "獲得大量護甲"
"scroll_2"                                                                                     "傷害捲軸"
"dota_tooltip_ability_item_base_damage_aura"                                                   "傷害捲軸"
"dota_tooltip_ability_item_base_damage_aura_description"                                       "使用此捲軸，1000範圍內的英雄將獲得+20%的普攻。 \n死亡後，buff消失。"
"dota_tooltip_ability_item_base_damage_aura_dur"                                               "期間："
"dota_tooltip_modifier_item_base_damage_aura"                                                  "傷害捲軸增益"
"dota_tooltip_modifier_item_base_damage_aura_description"                                      "你造成更多傷害"
"scroll_3"                                                                                     "體驗捲軸"
"dota_tooltip_ability_item_expiriance_aura"                                                    "體驗捲軸"
"dota_tooltip_ability_item_expiriance_aura_description"                                        "使用此捲軸，1000 範圍內的英雄將開始獲得 10% 更多經驗。\n 死亡後，buff 消失。"
"dota_tooltip_ability_item_expiriance_aura_dur"                                                "期間："
"dota_tooltip_modifier_item_expiriance_aura"                                                   "經驗捲軸buff"
"dota_tooltip_modifier_item_expiriance_aura_description"                                       "你獲得更多經驗"
"scroll_4"                                                                                     "運動捲軸"
"dota_tooltip_ability_item_move_aura"                                                          "運動捲軸"
"dota_tooltip_ability_item_move_aura_description"                                              "使用此捲軸，1000 範圍內的英雄將獲得 100 移動速度。 \n被擊殺後buff消失。"
"dota_tooltip_ability_item_move_aura_dur"                                                      "期間："
"dota_tooltip_modifier_item_move_aura"                                                         "移動捲軸 Buff"
"dota_tooltip_modifier_item_move_aura_description"                                             "獲得移動速度加成"
"scroll_5"                                                                                     "速度滾動"
"dota_tooltip_ability_item_attack_speed_aura"                                                  "速度滾動"
"dota_tooltip_ability_item_attack_speed_aura_description"                                      "使用此捲軸，1000 範圍內的英雄將獲得 50 攻擊速度。 \nbuff在死亡時消失。"
"dota_tooltip_ability_item_attack_speed_aura_dur"                                              "期間："
"dota_tooltip_modifier_item_attack_speed_aura"                                                 "速度滾動buff"
"dota_tooltip_modifier_item_attack_speed_aura_description"                                     "獲得攻擊速度"
"scroll_6"                                                                                     "再生捲軸"
"dota_tooltip_ability_item_hp_aura"                                                            "再生捲軸"
"dota_tooltip_ability_item_hp_aura_description"                                                "使用此捲軸，1000 範圍內的英雄將獲得 2% 的生命恢復。 \nbuff在死亡時消失。"
"dota_tooltip_ability_item_hp_aura_dur"                                                        "期間："
"dota_tooltip_modifier_item_hp_aura"                                                           "再生捲軸增益"
"dota_tooltip_modifier_item_hp_aura_description"                                               "增加生命恢復"
"tooltip_purple_gem_description"                                                               "吸血寶石"
"tooltip_blue_gem_description"                                                                 "魔法傷害寶石"
"tooltip_orange_gem_description"                                                               "寶石統計"
"tooltip_red_gem_description"                                                                  "基礎傷害寶石"
"tooltip_green_gem_description"                                                                "再生寶石"
"gem_1_1000"                                                                                   "吸血寶石"
"gem_2_1000"                                                                                   "魔法傷害寶石"
"gem_3_1000"                                                                                   "寶石統計"
"gem_4_1000"                                                                                   "基礎傷害寶石"
"gem_5_1000"                                                                                   "再生寶石"
"dota_tooltip_ability_item_gems_1"                                                             "<font color='#b000cf'>吸血寶石</font>"
"dota_tooltip_ability_item_gems_2"                                                             "<font color='#0059ff'>魔法傷害寶石</font>"
"dota_tooltip_ability_item_gems_3"                                                             "<font color='#ffdd00'>統計寶石</font>"
"dota_tooltip_ability_item_gems_4"                                                             "<font color='#ff0000'>基礎傷害寶石</font>"
"dota_tooltip_ability_item_gems_5"                                                             "<font color='#00ff26'>再生寶石</font>"
"shop_gem_purple_puck_1"                                                                       "1000 寶石"
"shop_gem_blue_puck_1"                                                                         "1000 寶石"
"shop_gem_orange_puck_1"                                                                       "1000 寶石"
"shop_gem_red_puck_1"                                                                          "1000 寶石"
"shop_gem_green_puck_1"                                                                        "1000 寶石"
"shop_gem_green_puck_2"                                                                        "4000 寶石"
"shop_gem_purple_puck_2"                                                                       "4000 寶石"
"shop_gem_blue_puck_2"                                                                         "4000 寶石"
"shop_gem_orange_puck_2"                                                                       "4000 寶石"
"shop_gem_red_puck_2"                                                                          "4000 寶石"
"shop_gem_green_puck_3"                                                                        "8000 寶石"
"shop_gem_purple_puck_3"                                                                       "8000 寶石"
"shop_gem_blue_puck_3"                                                                         "8000 寶石"
"shop_gem_orange_puck_3"                                                                       "8000 寶石"
"shop_gem_red_puck_3"                                                                          "8000 寶石"
"shop_gem_purple_puck_4"                                                                       "20000 寶石"
"shop_gem_blue_puck_4"                                                                         "20000 寶石"
"shop_gem_orange_puck_4"                                                                       "20000 寶石"
"shop_gem_red_puck_4"                                                                          "20000 寶石"
"shop_gem_green_puck_4"                                                                        "20000 寶石"
"dota_tooltip_ability_item_tree_gold"                                                          "金樹"
"dota_tooltip_ability_item_tree_gold_description"                                              "<h1>被動：金幣</h1> 樹每分鐘帶來一袋金幣"
"scroll_11"                                                                                    "貴賓票"
"dota_tooltip_ability_item_ticket"                                                             "貴賓票"
"dota_tooltip_ability_item_ticket_description"                                                 "允許您移動到捐贈區。"
"scroll_12"                                                                                    "老闆召喚"
"dota_tooltip_ability_item_boss_summon"                                                        "老闆召喚"
"dota_tooltip_ability_item_boss_summon_description"                                            "<h1>主動：召喚</h1> 允許你在捐贈區召喚一個老闆。將召喚一個與最後一個被殺死的 Boss 強度相等的 Boss，最多 5 個 Boss。"
"other_1"                                                                                      "力量之書"
"dota_tooltip_ability_item_str"                                                                "無盡的力量之書"
"dota_tooltip_ability_item_str_description"                                                    "<h1>主動：力量</h1>使用這本書，英雄獲得 %str% 的基礎力量。\n <font color='#ff0000'>創建終極屬性書的偏好</font>"
"other_2"                                                                                      "敏捷之書"
"dota_tooltip_ability_item_agi"                                                                "無盡的敏捷之書"
"dota_tooltip_ability_item_agi_description"                                                    "<h1>主動：敏捷</h1>使用這本書，英雄獲得 %agi% 到基礎敏捷。\n <font color='#ff0000'>創建終極屬性書的偏好</font>"
"other_3"                                                                                      "智力之書"
"dota_tooltip_ability_item_int"                                                                "無盡的智力之書"
"dota_tooltip_ability_item_int_description"                                                    "<h1>主動：智力</h1>使用這本書，英雄獲得 %inf% 基礎智力。\n <font color='#ff0000'>創建終極屬性書的偏好</font>"
"dota_tooltip_ability_item_book_atributes_description"                                         "<h1>主動：屬性</h1>使用這本書，英雄獲得 %int% 基礎屬性。"
